title,year,avg_vote,votes
La Cina è vicina,1967,6.9,289
Clambake,1967,5.6,2221
Col cuore in gola,1967,5.6,446
El coleccionista de cadáveres,1970,4.2,324
La collectionneuse,1967,7.6,5428
Comanche blanco,1968,4.1,597
Come rubare la corona d'Inghilterra,1967,4.3,329
The Comedians,1967,6.4,1698
How Much Loving Does a Normal Couple Need?,1967,4.9,587
Cool Hand Luke,1967,8.1,151856
The Cool Ones,1967,4.8,240
Stranger in the House,1967,5.9,122
Coplan sauve sa peau,1968,5.3,120
Corruption,1968,5.9,965
A Countess from Hong Kong,1967,6.1,4949
A Covenant with Death,1967,6.1,214
Creature of Destruction,1967,3.4,281
Csend és kiáltás,1968,6.9,545
"Csillagosok, katonák",1967,7.6,2967
Los cuatro salvajes,1966,6,161
Da ci ke,1967,6.6,151
Taekoesu Yonggary,1967,3.8,1292
Daikyojû Gappa,1967,4.2,1221
The Day the Fish Came Out,1967,5.3,498
The Deadly Affair,1967,6.8,2683
The Deadly Bees,1966,3.8,1623
Indecent Desires,1968,4.9,182
El desperado,1967,6.6,262
Devil's Angels,1967,5,329
Diaboliquement vôtre,1967,6.2,867
Dio li crea... Io li ammazzo!,1968,5.6,121
Dio non paga il sabato,1967,6.1,126
Dio perdona... Io no!,1967,6.4,3626
The Dirty Dozen,1967,7.8,62899
Divorce American Style,1967,6.3,1374
Django spara per primo,1966,6,311
Doctor Dolittle,1967,6.2,7820
"Doctor, You've Got to Be Kidding!",1967,5.7,352
Navajo Joe,1966,6.4,3256
Don't Make Waves,1967,6.1,1219
"Don't Raise the Bridge, Lower the River",1968,4.8,513
Doomsday Machine,1972,2.4,882
The Double Man,1967,5.9,842
Double Trouble,1967,5.3,1183
Du bei dao,1967,7.4,2562
Due marines e un generale,1965,5.2,147
Le départ,1967,6.7,615
"Easy Come, Easy Go",1967,5.3,1222
Eat Your Makeup,1968,6.9,105
Edipo re,1967,7.4,4579
Eight on the Lam,1967,5.7,426
El Dorado,1967,7.6,22279
Elvira Madigan,1967,7.3,2446
Enter Laughing,1967,6.4,435
Entre la mer et l'eau douce,1967,7.2,246
El extraño viaje,1964,7.8,985
Eye of the Devil,1967,6.1,1964
Faccia a faccia,1967,7.2,2409
Fando y Lis,1968,7,4640
I fantastici 3 $upermen,1967,5.9,172
Triple Cross,1966,6.3,2055
Far from the Madding Crowd,1967,7.2,4860
The Fastest Guitar Alive,1967,4.3,338
Fathom,1967,5.8,1239
Fearless Frank,1967,3.9,207
Dance of the Vampires,1967,7.2,27678
La feldmarescialla,1967,4.8,148
The Fiction-Makers,1968,6,384
Il figlio di Django,1967,5.3,110
First to Fight,1967,5.8,254
Il fischio al naso,1967,6.7,135
Fitzwilly,1967,6.8,1130
Five Golden Dragons,1967,5,296
Five the Hard Way,1969,1.6,1662
Honô to onna,1967,6.9,160
The Flim-Flam Man,1967,6.9,1937
Follow That Camel,1967,6.1,1960
Frankenstein Created Woman,1967,6.6,3953
Attentato ai tre grandi,1967,5,292
Daikaijû kûchûsen: Gamera tai Gyaosu,1967,4.9,1581
Games,1967,6.5,1011
Gentle Giant,1967,6.1,145
Il giardino delle delizie,1967,6.9,166
I giorni dell'ira,1967,7.1,3589
I giorni della violenza,1967,5.7,116
The Glory Stompers,1967,5.2,393
The Gnome-Mobile,1967,6.6,1841
Good Morning... and Goodbye!,1967,5.6,466
Good Times,1967,4.6,486
The Graduate,1967,8,242106
Il grande colpo dei 7 uomini d'oro,1966,6.2,130
The Restaurant,1966,6.8,4574
La grande sauterelle,1967,5.4,136
The Gruesome Twosome,1967,5,829
Guess Who's Coming to Dinner,1967,7.8,35943
A Guide for the Married Man,1967,6.7,2298
Gunfight in Abilene,1967,5.6,323
Gunn,1967,6.4,329
Half a Sixpence,1967,6.6,513
Hamraaz,1967,7.2,299
Hang 'Em High,1968,7,32495
The Happening,1967,5.4,603
The Happiest Millionaire,1967,6.9,1641
Hasta el viento tiene miedo,1968,7.5,1151
Hatsukoi: Jigoku-hen,1968,7.4,676
Die Heiden von Kummerow und ihre lustigen Streiche,1967,6.8,133
Heißer Sommer,1968,6,256
Hell on Wheels,1967,3.8,113
Hells Angels on Wheels,1967,5.2,1990
The Hellcats,1968,1.9,1496
Herostratus,1967,6.8,320
Herrliche Zeiten im Spessart,1967,4.6,157
Hillbillys in a Haunted House,1967,2.6,950
Hombre,1967,7.4,10417
Per pochi dollari ancora,1966,6.2,282
The Honey Pot,1967,6.9,1956
"Horí, má panenko",1967,7.6,8391
The Hostage,1967,5.4,140
Hostile Guns,1967,5.3,174
Hot Rods to Hell,1967,5.3,843
Hot Thrills and Warm Chills,1967,4.1,166
Hotel,1967,6.5,1119
Hour of the Gun,1967,6.7,3192
How I Won the War,1967,5.7,2102
How to Succeed in Business Without Really Trying,1967,7.2,3997
Hugo och Josefin,1967,6.3,338
Der Hund von Blackwood Castle,1968,6.3,379
Hurry Sundown,1967,5.7,940
Die Hölle von Macao,1967,5.2,120
I'll Never Forget What's'isname,1967,6.3,840
Ich war neunzehn,1968,7.5,778
Im Banne des Unheimlichen,1968,6.1,320
Im Schloß der blutigen Begierde,1968,4.8,195
L'immorale,1967,6.7,132
In Cold Blood,1967,7.9,22460
In Like Flint,1967,6.2,4858
In the Heat of the Night,1967,8,61988
The Incident,1967,7.7,2775
Indomptable Angélique,1967,6.6,1178
Island of the Lost,1967,4,117
It!,1967,5.6,926
It's a Bikini World,1967,4.8,273
Un italiano in America,1967,6.1,112
Jack of Diamonds,1967,5.2,228
The Jackals,1967,5.2,234
Jag - en oskuld,1968,5.7,236
Jag är nyfiken - en film i gult,1967,6.1,3324
Jeu de massacre,1967,6.4,201
Jewel Thief,1967,8,1549
Johnny Yuma,1966,6.2,331
Jôi-uchi: Hairyô tsuma shimatsu,1967,8.4,9483
Journey to the Center of Time,1967,3.8,596
Jowita,1967,7.1,207
The Jungle Book,1967,7.6,154739
Jutro,1967,7,130
Kad budem mrtav i beo,1967,8.1,913
Kaijûtô no kessen: Gojira no musuko,1967,5.2,3366
The Karate Killers,1967,5.1,489
Killer calibro 32,1967,5.9,181
The King's Pirate,1967,5.8,142
Kingu Kongu no gyakushû,1967,5.6,2031
Kiss Kiss... Bang Bang,1966,6,112
Komissar,1967,7.5,1263
Konec srpna v Hotelu Ozon,1967,6.8,491
A koppányi aga testamentuma,1967,6.9,222
Koroshi no rakuin,1967,7.4,7186
Korotkie vstrechi,1967,7.4,623
Kristove roky,1967,6.5,179
Largo Viaje,1967,7.6,166
Las que tienen que servir,1967,4.8,121
The Last Challenge,1967,6.1,865
The Last Safari,1967,5.2,193
Libido,1965,6.8,212
Ljubavni slucaj ili tragedija sluzbenice P.T.T.,1967,7.4,1379
The Long Duel,1967,5.9,488
The Longest Hundred Miles,1967,6.8,159
The Love-Ins,1967,4.5,184
Luv,1967,5.5,440
Mad Monster Party?,1967,6.7,2559
Madamigella di Maupin,1966,6.2,125
Made in Italy,1965,6.7,199
The Magnificent Two,1967,5.2,302
Malzenstwo z rozsadku,1967,5.9,116
Il marchio di Kriminal,1968,5.7,101
La mariée était en noir,1968,7.3,7775
Maroc 7,1967,4.9,167
Martha,1967,7.2,801
Pretty Polly,1967,6.6,134
Midaregumo,1967,7.8,757
Mig og min lillebror,1967,5.8,272
Milan,1967,6.9,133
The Million Eyes of Sumuru,1967,3.5,759
Un millón en la basura,1967,6.9,123
Min søsters børn på bryllupsrejse,1967,5.9,254
Il mio corpo per un poker,1968,5.4,156
Mister Dynamit - Morgen küßt euch der Tod,1967,3.1,145
"Monkeys, Go Home!",1967,5.9,409
Mord und Totschlag,1967,6.4,116
La morte ha fatto l'uovo,1968,6,993
La morte non conta i dollari,1967,5.8,130
Mouchette,1967,7.9,9154
The Mummy's Shroud,1967,5.5,1595
Muri shinjû: Nihon no natsu,1967,6.8,597
Mustaa valkoisella,1968,6,222
My Hustler,1965,5.9,242
Der Mönch mit der Peitsche,1967,6.2,552
Der Mörderclub von Brooklyn,1967,5.7,111
Nachalo nevedomogo veka,1967,6.9,193
The Naked Runner,1967,6,386
Necronomicon - Geträumte Sünden,1968,5.4,894
Il raggio infernale,1967,2.5,612
Night Fright,1967,2.6,688
Night of the Big Heat,1967,5.6,1467
The Night of the Generals,1967,7.3,6627
Nihon no ichiban nagai hi,1967,7.7,614
Nihon shunka-kô,1967,6.7,612
Ninja bugei-chô,1967,6.2,151
Wanted,1967,6.1,289
Noc nevesty,1967,7.1,103
Noz,1967,7.2,107
The Nude Restaurant,1967,5.5,127
Onkel Joakims hemmelighed,1967,6.4,184
Ah Güzel Istanbul,1966,8.1,1510
Odio per odio,1967,6.1,117
"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",1967,5,223
Okasareta hakui,1967,7.3,1354
OK Connery,1967,3.4,1097
Operazione San Gennaro,1966,7.1,1002
Se sei vivo spara,1967,6.4,2131
Oscar,1967,7.5,5390
Our Mother's House,1967,7.3,1522
Le pacha,1968,6.7,1051
Panic in the City,1968,5.7,104
Niente rose per OSS 117,1968,5.2,193
Pedro Páramo,1967,7,262
The Penthouse,1967,6,181
Peppermint Frappé,1967,7.1,1065
Per 100.000 dollari t'ammazzo,1968,6.6,197
The Perils of Pauline,1967,5.9,241
Le petit baigneur,1968,6.6,3281
La più grande rapina del west,1967,5.8,115
Placer sangriento,1967,4.1,129
The Plank,1967,6.8,1074
Playtime,1967,7.9,17255
Le plus vieux métier du monde,1967,5.5,343
Point Blank,1967,7.4,17069
Poor Cow,1967,6.8,1170
Slave Girls,1967,4.6,957
Preparati la bara!,1968,6.5,2138
The President's Analyst,1967,6.9,2877
Privilege,1967,6.9,999
Professionisti per un massacro,1967,5.7,223
The Projected Man,1966,3.4,820
A Pál utcai fiúk,1968,7.9,2295
Pähkähullu Suomi,1967,6.5,370
Quatermass and the Pit,1967,7,8744
La ragazza e il generale,1967,6,187
Ram Aur Shyam,1967,7.4,771
L'invincibile Superman,1968,4.8,204
Rece do góry,1981,6.5,277
Reflections in a Golden Eye,1967,6.8,5905
The Reluctant Astronaut,1967,6.4,1970
Gallery of Horror,1967,3.2,468
Return of the Gunfighter,1967,6.4,461
The Ride to Hangman's Tree,1967,5.2,159
Riot on Sunset Strip,1967,5,362
Les risques du métier,1967,7,423
Little Rita nel West,1968,4.6,489
Robbery,1967,6.8,988
El romance del Aniceto y la Francisca,1967,7.3,268
Rough Night in Jericho,1967,6.4,1003
The Sailor from Gibraltar,1967,6.6,264
Sami swoi,1967,7.9,2764
Le samouraï,1967,8.1,40621
Sangre de vírgenes,1967,4.6,235
Satsujin kyôjidai,1967,7.1,208
Die Schlangengrube und das Pendel,1967,5.9,1207
"Scusi, lei è favorevole o contrario?",1966,5.9,135
Sedmoy sputnik,1968,7.5,386
She Freak,1967,3.2,607
The Shooting,1966,6.6,4026
The Shuttered Room,1967,5.9,1515
Signore & signori,1966,7.6,1085
"Skrållan, Ruskprick och Knorrhane",1967,6.4,663
Skupljaci perja,1967,7.9,1750
Slap af Frede!,1966,6,493
Smashing Time,1967,6.2,344
Soleil Ô,1967,7.1,142
Something Weird,1967,5.2,620
Sor Citroen,1967,5,241
The Sorcerers,1967,6.3,1599
I sovversivi,1967,6.1,124
The Spirit Is Willing,1967,5.8,379
The St. Valentine's Day Massacre,1967,6.7,3266
Stimulantia,1967,5.9,169
Lo straniero,1967,7.3,2033
Suburban Roulette,1968,4.6,122
Superargo contro Diabolikus,1966,5.9,186
Susuz Yaz,1963,8,3281
Svadba v Malinovke,1967,7.5,1055
Tammy and the Millionaire,1967,5.8,153
Tarzan and the Great River,1967,5.6,318
A Taste of Blood,1967,4.7,470
Il tempo degli avvoltoi,1967,6.2,195
Terra em Transe,1967,7.5,2306
The Terrornauts,1967,5.1,338
Testa di sbarco per otto implacabili,1968,5.1,209
Theatre of Death,1967,5.7,607
They Came from Beyond Space,1967,4.5,1239
Thoroughly Modern Millie,1967,6.9,5548
Jules Verne's Rocket to the Moon,1967,5.3,643
Thunder Alley,1967,5.4,206
Théâtre de Monsieur & Madame Kabal,1967,6.3,179
The Tiger Makes Out,1967,5.9,248
Il tigre,1967,6.4,285
A Time for Killing,1967,5.3,708
"To Sir, with Love",1967,7.7,14591
Tobruk,1967,6.4,2619
Tony Rome,1967,6.6,2115
Torture Garden,1967,6.2,2187
The Touch of Her Flesh,1967,5.4,242
Un treno per Durango,1968,6.1,195
Tri topolya na Plyushchikhe,1968,7.8,817
The Trip,1967,6.1,4075
Two for the Road,1967,7.5,11210
Uchû daikaijû Girara,1967,5,1024
Ukradená vzducholod,1967,7.4,488
L'ultimo killer,1967,6,246
Ulysses,1967,6.6,750
1 homme de trop,1967,7,457
"L'uomo, l'orgoglio, la vendetta",1967,6,498
Up the Down Staircase,1967,7.4,1759
Up the Junction,1968,6.9,565
V ogne broda net,1968,7.5,327
Vado... l'ammazzo e torno,1967,6,585
Valley of the Dolls,1967,6,6882
The Venetian Affair,1966,5.3,359
La venganza del sexo,1969,5,422
Venus in Furs,1967,4.8,100
The Viking Queen,1967,5.1,767
La vingt-cinquième heure,1967,7.4,1603
Le viol du vampire,1968,5.5,936
Vivre pour vivre,1967,6.5,456
Viy,1967,7.4,5022
Voyna i mir III: 1812 god,1967,8.3,879
Voyna i mir IV: Pierre Bezukhov,1967,8.2,796
Le voleur,1967,7,1487
Gates to Paradise,1968,6.1,165
The Vulture,1966,4.1,262
The Wacky World of Mother Goose,1967,5.4,130
Wait Until Dark,1967,7.8,25789
The War Wagon,1967,6.9,8123
Warning Shot,1967,6.8,524
Waterhole #3,1967,6.3,1178
The Way West,1967,6.2,2203
Week End,1967,7.2,12223
Welcome to Hard Times,1967,5.9,1297
Wenn Ludwig ins Manöver zieht,1967,4.6,129
Westerplatte,1967,7.2,308
Who's Minding the Mint?,1967,7,893
The Wild Rebels,1967,2.2,784
Woman Times Seven,1967,6,1220
Ego zvali Robert,1967,6.5,124
You Only Live Twice,1967,6.9,90161
The Young Warriors,1967,5.8,106
Zatôichi rôyaburi,1967,7.1,938
Al-zawja al-thaniya,1967,7.8,564
"Zhenya, Zhenechka i 'Katyusha'",1967,7.6,413
Zhurnalist,1967,7.2,120
Zur Sache Schätzchen,1968,6.8,470
Zywot Mateusza,1968,7.1,333
¿Qué hacemos con los hijos?,1967,5.1,107
À coeur joie,1967,5.5,208
E per tetto un cielo di stelle,1968,6,402
2001: A Space Odyssey,1968,8.3,558202
"30 Is a Dangerous Age, Cynthia",1968,5.3,170
5 Card Stud,1968,6.5,3158
Un homme à abattre,1967,6.3,102
Ad ogni costo,1967,6.9,945
Adieu l'ami,1968,6.9,2652
Aadmi,1968,7,172
Al di là della legge,1968,6.2,1015
All Neat in Black Stockings,1969,5.2,146
All'ultimo sangue,1968,5.6,108
Amanti,1968,5.7,573
The Ambushers,1967,5.4,1540
Ammazzali tutti e torna solo,1968,6.5,452
L'amour fou,1969,7.7,527
Anche nel west c'era una volta Dio,1968,5,218
Angels from Hell,1968,5.2,247
The Anniversary,1968,7,2068
Lo sbarco di Anzio,1968,6,2794
Arizona Bushwhackers,1968,5,220
Arrriva Dorellik,1967,6,103
Die Artisten in der Zirkuskuppel: Ratlos,1968,6.7,333
Asfalttilampaat,1968,6,186
Omicidio per vocazione,1968,5.9,207
Assignment K,1968,5.5,169
Assignment to Kill,1968,6.1,254
Astérix et Cléopâtre,1968,7.2,10763
Attack on the Iron Coast,1968,5.5,562
O Ritual dos Sádicos,1970,6.1,999
Baby Love,1969,5.8,386
Baisers volés,1968,7.7,10600
The Bamboo Saucer,1968,5.5,339
Bandidos,1967,6.7,514
Banditi a Milano,1968,7.1,598
Bandolero!,1968,6.6,4127
Barbarella,1968,5.9,29865
I bastardi,1968,6,284
La bataille de San Sebastian,1968,6.6,1752
La battaglia di El Alamein,1969,5.4,534
Un bellissimo novembre,1969,6.1,239
Benjamin ou Les mémoires d'un puceau,1968,6.8,487
Les biches,1968,7.1,2821
The Big Snatch,1971,5.1,135
The Biggest Bundle of Them All,1968,5.3,413
The Birthday Party,1968,6.5,641
Black Jack,1968,6.4,175
Blackbeard's Ghost,1968,6.9,4662
The Bliss of Mrs. Blossom,1968,5.8,467
The Blood of Fu Manchu,1968,4.6,1005
Blue,1968,6.1,432
Blue Movie,1969,5.1,289
The Bofors Gun,1968,6.9,236
Boom,1968,5.6,1252
The Boston Strangler,1968,7.1,7568
Bratya Karamazovy,1969,7.7,584
Brides of Blood,1968,5.1,613
Brilliantovaya ruka,1969,8.5,12014
The Brotherhood,1968,6.1,711
Buckskin,1968,5.2,122
Bullitt,1968,7.4,56438
"Buona Sera, Mrs. Campbell",1968,6.8,1333
Bye Bye Braverman,1968,5.7,536
Bübchen,1968,7.1,161
Candy,1968,5.4,2496
Capriccio all'italiana,1968,6.7,420
Carry On... Up the Khyber,1968,6.8,4147
Un certo giorno,1968,7,115
A Challenge for Robin Hood,1967,5.6,453
La chamade,1968,6.5,655
The Charge of the Light Brigade,1968,6.7,2822
Charlie Bubbles,1968,6.4,568
"Charlie, the Lonesome Cougar",1967,6.9,730
Charly,1968,7,5885
Chitty Chitty Bang Bang,1968,6.9,38240
Chronik der Anna Magdalena Bach,1968,6.9,1210
Chubasco,1967,5.5,128
5 per l'inferno,1969,5.1,489
Die sieben Männer der Sumuru,1969,4.4,756
Columna,1968,7.9,554
Commandos,1968,5.4,588
The Committee,1968,6.3,164
Coogan's Bluff,1968,6.5,14491
Corri uomo corri,1968,6.9,1447
Countdown,1967,6,1753
Counterpoint,1968,6.3,610
Les cracks,1968,5.8,325
Curse of the Crimson Altar,1968,5.5,1818
Las crueles,1969,6.3,138
Custer of the West,1967,5.8,1168
"Daddy, Darling",1970,4.9,270
Burai yori daikanbu,1968,7,189
Daimajin,1966,6.7,1062
Daimajin gyakushû,1966,6.2,471
Daimajin ikaru,1966,6.4,502
Dalle Ardenne all'inferno,1967,5.1,162
A Dandy in Aspic,1968,6.3,674
Danger Route,1967,5.8,231
Diabolik,1968,6.5,5336
The Mercenaries,1968,6.9,2433
David Holzman's Diary,1967,6.6,1307
Day of the Evil Gun,1968,6.4,1060
Deadfall,1968,5.7,702
Marquis de Sade: Justine,1969,5.2,1420
Decline and Fall... of a Birdwatcher,1968,5.6,103
Les demoiselles de Rochefort,1967,7.6,7284
Los desafíos,1969,5.6,103
The Detective,1968,6.6,2642
Detektive,1969,6.9,102
The Devil Rides Out,1968,7,7130
The Devil's Brigade,1968,6.8,4669
Dillinger è morto,1969,7.1,1979
Doctor Faustus,1967,5.5,880
Dozhivyom do ponedelnika,1968,8,1093
Dracula Has Risen from the Grave,1968,6.6,5951
Due volte Giuda,1968,5.3,278
Duffy,1968,5.8,407
Dynamit in grüner Seide,1968,5.7,117
Dyrlægens plejebørn,1968,6.3,409
Egri csillagok,1968,7.4,1949
Die Ente klingelt um halb acht,1968,5.5,114
Si wang mo ta,1978,6.1,230
España otra vez,1968,6,112
O Estranho Mundo de Zé do Caixão,1968,6.4,502
"Eva, la Venere selvaggia",1968,2.5,701
Execution,1968,5.1,101
The Face of Eve,1968,5.1,114
Faces,1968,7.7,8628
Malenka,1969,4.3,800
Fear Chamber,1968,3.4,337
Feldobott kö,1969,6.8,137
"Finders Keepers, Lovers Weepers!",1968,5.5,445
Finian's Rainbow,1968,6.2,3106
Firecreek,1968,6.8,2970
The Fixer,1968,6.8,1112
A Flea in Her Ear,1968,5.7,186
Flesh,1968,5.9,2167
Fleshpot on 42nd Street,1973,6,175
Flickorna,1968,6.8,466
For Love of Ivy,1968,6.3,596
Fort Utah,1967,5,212
The Fox,1967,6.6,950
Fuego,1969,6,253
Funny Girl,1968,7.4,17228
Fényes szelek,1969,6.4,321
Le gai savoir,1969,6.3,699
Galileo,1968,6.8,182
Gamera tai uchu kaijû Bairasu,1968,4.6,1129
Le gendarme se marie,1968,6.8,6434
Gentleman Jo... uccidi,1967,6,167
Il giorno della civetta,1968,7.1,1009
The Girl on a Motorcycle,1968,5.3,1822
Goopy Gyne Bagha Byne,1969,8.8,1844
Der Gorilla von Soho,1968,5.3,269
"Goto, l'île d'amour",1969,6.7,623
La grande lessive (!),1968,6.4,257
Il grande silenzio,1968,7.7,12633
Grazie zia,1968,6.2,189
Great Catherine,1968,5.6,244
The Green Berets,1968,5.8,11473
Greetings,1968,5.7,2796
Hammerhead,1968,5.1,328
L'harem,1967,6.7,237
Head,1968,6.6,5374
The Heart Is a Lonely Hunter,1968,7.6,3344
The Helicopter Spies,1968,5.7,288
Hell in the Pacific,1968,7.3,7220
The Hell with Heroes,1968,5.7,187
Hell's Belles,1969,5.5,208
Hellfighters,1968,6.6,4863
Here We Go Round the Mulberry Bush,1968,6.4,576
Hibotan bakuto,1968,6.9,174
Nobody Runs Forever,1968,6,474
Ho!,1968,6.1,420
L'homme qui ment,1968,6.9,647
The Hooked Generation,1968,5.3,123
La horripilante bestia humana,1969,5,795
The Horse in the Gray Flannel Suit,1968,6.5,798
Hostile Witness,1968,6.3,323
Hot Millions,1968,6.9,1737
Hot Spur,1968,4.6,117
House of Evil,1968,3.6,269
How Sweet It Is!,1968,6,523
How to Make a Doll,1968,3.1,185
How to Save a Marriage and Ruin Your Life,1968,6.4,509
How to Steal the World,1968,5.6,234
Jin yan zi,1968,6.8,568
"I Love You, Alice B. Toklas!",1968,6.3,2694
I huvet på en gammal gubbe,1968,5.9,104
Ice Station Zebra,1968,6.6,8273
"Ich bin ein Elefant, Madame",1969,6.6,106
Imam dvije mame i dva tate,1968,7,208
Immer Ärger mit den Paukern,1968,3.7,130
The Impossible Years,1968,5.7,544
In Enemy Country,1968,5.8,163
In Search of Gregory,1969,5.6,197
The Incredible Invasion,1971,3.3,191
Inspector Clouseau,1968,4.9,2193
Interlude,1968,6.6,321
Isabel,1968,5.9,103
Isadora,1968,7,2017
La muerte viviente,1971,3.2,759
Italian Secret Service,1968,6.7,113
Jag är nyfiken - en film i blått,1968,6.1,1223
"Je t'aime, je t'aime",1968,7.2,2247
Joanna,1968,6,326
Joe... cercati un posto per morire!,1968,5.5,276
Joko invoca Dio... e muori,1968,6.2,439
Journey to Shiloh,1968,5.6,753
Juhyô no yoromeki,1968,7,221
Just for the Hell of It,1968,4.4,340
Kaette kita yopparai,1968,6.6,503
Kaidan hebi-onna,1968,6.4,243
Kaidan yukijorô,1968,7.1,320
Kaijû sôshingeki,1968,6.5,4486
Kamigami no fukaki yokubô,1968,7.8,1270
Kampf um Rom I,1968,6.2,278
Kekceve ukane,1968,7.1,281
Khozyain taygi,1969,6.7,147
Killers Three,1968,5,122
The Killing of Sister George,1968,7,1993
Kiru,1968,7.5,2323
Kommissar X - Drei goldene Schlangen,1969,5.6,108
Kona Coast,1968,4.5,105
Konchû daisensô,1968,5,466
Kôshikei,1968,7.6,1929
Kuro tokage,1968,7,448
Kyôkatsu koso waga jinsei,1968,6.9,318
Kyuketsuki Gokemidoro,1968,6.2,1333
Lady in Cement,1968,5.9,1797
Lebenszeichen,1968,7.2,1780
The Legend of Lylah Clare,1968,5.9,1041
La leçon particulière,1968,6.7,142
The Lion in Winter,1968,7.9,27432
"Live a Little, Love a Little",1968,5.9,1381
Lo voglio morto,1968,6,224
Lonesome Cowboys,1968,5.4,440
The Long Day's Dying,1968,6.8,404
The Lost Continent,1968,5.7,1495
Love Camp 7,1969,3.8,731
A Lovely Way to Die,1968,5.1,341
Die Lümmel von der ersten Bank - 1. Trimester: Zur Hölle mit den Paukern,1968,5.7,623
Mad Doctor of Blood Island,1968,4.9,554
Madigan,1968,6.5,3036
The Magus,1968,5.7,1464
Mandabi,1968,7.2,440
Der Mann mit dem Glasauge,1969,5.7,225
Manon 70,1968,5.9,267
Lila,1968,5,288
La marca del Hombre Lobo,1968,5.5,615
Marketa Lazarová,1967,8.1,3929
Martín Fierro,1968,6.5,124
Maryjane,1968,5.5,134
Witchfinder General,1968,6.8,8332
Me and My Brother,1969,6.6,117
Il medico della mutua,1968,7.1,1143
Memorias del subdesarrollo,1968,7.7,3329
Il mercenario,1968,7.2,3703
A Midsummer Night's Dream,1968,6.4,614
Mig og min lillebror og storsmuglerne,1968,5.9,190
Un dollaro per 7 vigliacchi,1968,4.3,310
Min søsters børn vælter byen,1968,5.7,271
The Mini-Skirt Mob,1968,4.8,340
"Un minuto per pregare, un istante per morire",1968,6.4,384
Mission Impossible Versus the Mob,1969,7.1,231
Mission Mars,1968,4.5,236
Il momento di uccidere,1968,6.1,148
La morte non ha sesso,1968,5.9,357
"Mrs. Brown, You've Got a Lovely Daughter",1968,4.7,382
Muñecos infernales,1961,6.1,242
Myortvyy sezon,1968,7.3,286
"Na voyne, kak na voyne",1969,7.9,390
The Name of the Game Is Kill!,1968,6.3,116
Nerosubianco,1969,5.4,238
Never a Dull Moment,1968,6.2,537
The Night They Raided Minsky's,1968,6,1302
Night of the Living Dead,1968,7.9,108136
No Way to Treat a Lady,1968,7.1,1805
Nocturno 29,1968,6.3,142
"Non aspettare Django, spara",1967,4.6,176
Nostra signora dei turchi,1968,7.1,260
Novye priklyucheniya neulovimykh,1968,7.2,921
Nude... si muore,1968,6,525
O slavnosti a hostech,1966,7.1,1259
The Odd Couple,1968,7.7,29686
Oedipus the King,1968,6.5,242
Oggi a me... domani a te!,1968,6.2,1183
"Ogon, voda i... mednye truby",1968,7.1,627
Les oiseaux vont mourir au Pérou,1968,4.9,121
Ole dole doff,1968,6.9,324
Oliver!,1968,7.4,32025
Olsen-banden,1968,6.7,1835
"The One and Only, Genuine, Original Family Band",1968,6.5,735
Only When I Larf,1968,6.1,164
Faut pas prendre les enfants du bon Dieu pour des canards sauvages,1968,6,386
Out of It,1969,6.2,106
P.J.,1968,6.5,204
Padosan,1968,8.1,5481
Il padre di famiglia,1967,6.8,128
Paper Lion,1968,6.3,902
Orgasmo,1969,6.1,567
Partner.,1968,6.4,657
The Party,1968,7.6,35470
Petulia,1968,7.1,2659
The Pink Jungle,1968,6,221
Una pistola per cento bare,1968,5.6,179
Planet of the Apes,1968,8,158123
Play Dirty,1969,6.8,2836
Por mis pistolas,1968,6.8,246
The Power,1968,6,1265
Pretty Poison,1968,7.1,3056
La prisonnière,1968,7.1,932
The Private Navy of Sgt. O'Farrell,1968,6,454
The Producers,1967,7.6,47161
Il profeta,1968,6,215
Project X,1968,5.4,382
Prudence and the Pill,1968,5.6,378
Psych-Out,1968,6,2231
Pudelnackt in Oberbayern,1969,2,111
Punahilkka,1968,6,111
Quella sporca storia nel west,1968,6.8,411
Questi fantasmi,1967,5.7,337
"Rachel, Rachel",1968,7.3,2747
La ragazza con la pistola,1968,6.9,914
Una ragazza piuttosto complicata,1969,6,122
Le Rapace,1968,6.4,335
Rapirea fecioarelor,1968,6.7,102
Razbunarea haiducilor,1968,6.6,139
Reconstituirea,1968,8,1350
Requiescant,1967,6.5,646
La resa dei conti,1966,7.4,4892
Riusciranno i nostri eroi a ritrovare l'amico misteriosamente scomparso in Africa?,1968,7,705
Robby,1968,6.1,227
Romeo and Juliet,1968,7.6,27800
Rosemary's Baby,1968,8,176334
Rosie!,1967,7,212
La route de Corinthe,1967,5,440
Rozmarné léto,1968,7.1,1163
Réquiem para el gringo,1968,6.6,142
Le révélateur,1968,7,532
Den røde kappe,1967,6.4,101
Sadhu Aur Shaitaan,1968,6.8,116
Salt and Pepper,1968,5.2,479
Saraba natsu no hikari,1968,7,175
Satanik,1968,4.8,287
Savage Intruder,1970,5.3,128
The Savage Seven,1968,5.6,293
Sayat Nova,1969,7.7,7739
The Scalphunters,1968,6.8,2936
Das Schloß,1968,6.8,219
School for Sex,1969,3.8,219
Schreie in der Nacht,1969,6.4,176
Se incontri Sartana prega per la tua morte,1968,6.5,1056
The Sea Gull,1968,7.1,675
Sebastian,1968,6.3,483
Secret Ceremony,1968,6.4,1697
